Source,Target,Weight
belengbeleng687,rudydesda,1
belengbeleng687,rusdiridwans,1
belengbeleng687,sampalle,1
belengbeleng687,se_raden997370,1
belengbeleng687,secr3thm4nz56,2
belengbeleng687,si_poetraa,1
belengbeleng687,snazbelle,2
belengbeleng687,sr21881,1
belengbeleng687,sulaimanjati2,1
belengbeleng687,sumanto59653397,1
belengbeleng687,suwandaben,1
belengbeleng687,toniwahyudi21,1
belengbeleng687,tukuq_86300,1
belengbeleng687,udinsam_dua,1
belengbeleng687,w1ll_angelroses,1
belengbeleng687,yoechan_,1
bibibcemet,tomketlovers,1
bimba58050,habiburokhman,1
bimba58050,mrtweepsid,1
bimba58050,prabowo,1
bisalunas2025,gadeblazz,1
bismillahyuk_,_sweetiepie05,1
bismillahyuk_,dorayakie01,1
bismillahyuk_,fffrrrnnnyyy,1
bl1ndnss,karirfess,1
blackmoltresss,gramedia,1
blackmoltresss,gramediadotcom,1
bloodymary90,cakewalk0,1
bloodymary90,moneyeppo,1
bluelinedot,tirta_cipeng,1
bobahangat,miracle20272539,1
bonjurno31,msaid_didu,1
bonjurno31,vulgis,1
bonkq_rui,tempodotco,1
boora_nuna,starfess,1
bpsmgt,dedimulyadi71,1
bpsmgt,mdy_asmara1701,1
bpsmgt,nicho_silalahi,1
breybrandon,convomfs,1
breybrandon,h_ayeonu,1
breybrandon,roseanney_69,1
breybrandon,tanyarlfes,2
breybrandon,thantryritha,1
brqssumit,campanulaa_,1
brqssumit,lagigabutini,1
brqssumit,queenznimuni,1
brqssumit,shopeeid,1
btsjecnj,missri6ht13,1
buahlil_ku,sahamgiladiskon,1
buswaylovexx,vladisvya,1
buzuzima0,mrtweepsid,1
bycmsimel,smdyhlpm,1
caca_ddalgi,sibedull_,1
cadoize3,atokdalangs4,1
cadoize3,unegrakyatindo,1
cahyodewantoroo,lambesahamjja,1
caiairwater2,convomf,1
caiairwater2,yearendsale_,1
calamaki_vi,catchmeupco,1
calamaki_vi,ganafmargi,1
calamaki_vi,wahyu_uniform,1
callmeyaaya,dospemz,1
callmeyaaya,ridhasidi,1
camelianandish,pcrnyksj,1
camelianandish,sunwillshlne,1
cattheseekers,pinjollaknat,1
catties_0,bycmsimel,1
cauldronstew,kapuds640,1
ccanciang,nanyasamasiapa,1
cenayangsa6124,ldhbbh,1
cenayangsa6124,mbakoverthink,1
charsiuchicken,karirfess,1
choccih,bknantekaxing,1
choccih,edih_one,1
choccih,ristafuji,1
choccih,tempodotco,1
chocollataee,arrataki,1
cinnamonr0111,miracle20272539,1
ciyeee_kepooo,ojkindonesia,1
cleonysz2,vousmewony,1
cokopaymania,karirfess,1
cr1ptoss,talkinandy,1
cryptorealis,gibran_tweet,1
cryptorealis,prabowo,1
cupang1997,americhanoo_,1
cupang1997,yumiaaww,1
cutea_f,mweohaseyo,1
cyj99curr,gyj96curr,1
d3vilicious,ganjarpranowo,1
d3vilicious,jokowi,1
d3vilicious,kemenkeuri,1
d3vilicious,prabowo,1
daayya_april,tanyakanrl,1
dabigujosman1,heraloebss,1
dabigujosman1,jimmiejimmies,1
damnson3000,infotwitwor_,1
daoesfir,doktertifa,1
daoesfir,elvycarerra,1
daysafteryouu,adakamiofficial,1
daysafteryouu,anatelbay,1
daysafteryouu,cakkrraa,1
daysafteryouu,dpr_ri,1
