Source,Target,Weight
rendrasejati,partaisocmed,1
rendrasejati,partono_adjem,1
rendrasejati,pinjollaknat,1
rennyjisun25,kakakpembina00,1
rennyjisun25,unmagnetism,1
reunited_404,the_redsindo,1
rezaarinanda48,ardisatriawan,1
rezaarinanda48,profesor_saham,1
rezawakas,ara___jpg,1
rezawakas,kreditpintar,1
rezkiy_,xiayuejiu,1
ricardoo737,arvinhonami,1
ricardoo737,holan_siregar,1
riuhdeh,metro_tv,1
riuhdeh,msmujab22,1
rivani_mutiara,bycmsimel,1
rizahariati,cania_citta,1
rizahariati,insidefolkative,1
rizahariati,kompastv,1
rizalandi,sosmedkeras,1
rizkizky,ipoopbased,1
rizkizky,pramestihilya,1
rkmtoadi,bleuille,1
roelsmajor,bank_indonesia,1
roelsmajor,ojkindonesia,1
roelsmajor,prabowo,1
romeorome70,satriyotutuko,1
roy1alien,lambesahamjja,1
rozaqate,divhumas_polri,1
rozaqate,kredivo,2
rozaqate,mohmahfudmd,1
rozaqate,ojkindonesia,2
rozaqate,partaisocmed,1
rsjahfidi,umarhasibuan__,1
ruangnode,kucengterbanggg,1
rudiyanto_zh,duwitmu,1
rudiyanto_zh,febry1309,1
ruzaldi06,idextratime,1
rylverria,lambesahamjja,1
ryn4829,iniituterus,1
s1m0m0,irfan_albento77,1
s1m0m0,opposite6892,1
s4triabaj4,thebabayega_,1
s4triabaj4,txtharihariwni,1
sabtu04,merapi_uncover,1
saktikunco8211,karirfess,1
salazartherin,masssdho97,1
salazartherin,thingsnialike,1
samapinjol,aquariusdrop_,1
samapinjol,ayluvmatcha,1
samapinjol,jokowi,1
samapinjol,kemdikbud_ri,1
samapinjol,mrtweepsid,1
samapinjol,partono_adjem,1
samapinjol,prabowo,1
sammi_ananta,indrramanik,1
samuel_atika,txtdaritaxpayer,1
sandiorgdalem,txtmlbb,1
sarangaci,recehtuitt,1
sarkoroagus,detikcom,1
sarunglove,dimarsasongko98,1
saskexyz,karirfess,1
saskexyz,kiluazoldyck25,1
sate_ayam63638,mkbijaksana,1
saturdjay,tanyakanrl,1
seragamkantorid,blogbayuwin,1
serendipity5221,archivebyta,1
seroookk,wolf_of_ihsg,1
serraanonim,lattematcha3_,1
setan__alas,uphil_008,1
sfhawal,tempodotco,1
sfhawal,yucandoit5,1
sgrdamai,creeping5ilence,1
shda_agatha_,dew0w1snu,1
shimaaasyala,xiayuejiu,1
shinnoraaa,kppu,1
sidecharaari,ditjenpajakri,1
sidesofa,jogmfs,1
sigitri98588726,bangherwin,1
silvigagalkurus,karirfess,1
sinyalcrypto3,kapuds640,1
skysitorus,lhayesno,1
sorreand,kapuds640,1
spritesoup,catp00h,1
ssongminkiz,yappingfess,1
star_alien04,opposite_lolo,1
star_alien04,txtdaritaxpayer,1
storvie,erorwhynot,1
suci923,partaisocmed,1
sudarsa78503993,bonartoiki92774,1
sudarsa78503993,ciptabuana_,1
sudrajatasep17,pamatri23,1
sudrajatasep17,qalbubahasa,1
sultanaffandie_,karirfess,1
sumampir17,stelanau,1
supriuk08,adakamiofficial,1
supriuk08,chikapetshop,1
supriuk08,partaisocmed,1
suryaagung16,boahamncook,1
susahdicari_01,drevachaniago,1
susahdicari_01,jokowi,1
susahdicari_01,prabowo,1
susahdicari_01,vanc1bozz,1
sweetiecutepie_,jonathanend,1
swweetplace,kppu,1
swweetplace,officialafpi,1
swweetplace,ojkindonesia,3
swweetplace,r_kapau,1
syafridon8,jansen_jsp,1
szelangkah,campanulaa_,1
szelangkah,irdaiisy,1
szelangkah,shopeeid,1
szelangkah,unbeliebub,1
tang__kira,asura0599,1
tanto19,huntyng,1
tanto19,kennedyjun,1
tanto19,sarjanaeksu,1
tarawan14,niskalaivy,1
tatangberkutang,karirfess,1
tehannaaja,rashelvavn,1
tehannaaja,stfugurlyash,1
tehannaaja,zanski_,1
temanduit,adri_7i,1
temanduit,are_inismyname,1
temanduit,b_hendratmo1,1
temanduit,bengkeldodo,1
temanduit,chavesz08,1
temanduit,dika_maxelyou,1
temanduit,jokowi,1
temanduit,mas_veel,1
temanduit,paduka_teuing,1
temanduit,prabowo,1
temanduit,yoyoayo17845,1
tenryubito0o,atfnnf,1
tenryubito0o,fcbarcelona,1
tenryubito0o,idextratime,1
tenryubito0o,nilsola10,1
tenryubito0o,xaneqite,1
terasrumah76,arvinhonami,1
terus_semangad,esjeruukseger,1
terus_semangad,seekracle,1
thalitasfa,tanyakanrl,1
tharipriambodo,irajenar,1
thecurut007,sofie_rr,1
thondhanks,msaid_didu,1
tiang_djawi,cheatxiiizn,1
tiang_djawi,kredivo,1
tiedictator,_neveralonely,1
tiwiangembani,hrdbacot,1
toe_giman,magats_,1
toe_giman,prabowo,1
toetiex16,addheshaa,1
touyakun_,worksfess,1
tp_cm,reichenpinkler,1
tp_cm,undesiringmecha,1
tqkuqt,bismillahyuk_,1
tqkuqt,kytmnds,1
tradingdiary2,_azil,1
tradingdiary2,bamseku,2
tradingdiary2,chocomaltmacha,1
tradingdiary2,moodtalkz,1
tradingdiary2,yatim_sukses,1
tri_jabroni,polisiolahraga,1
triadeamarullo2,k70639,1
tribunpontianak,tribunnews,2
trimodjo,yaniarsim,1
trinugroho162,bangediii,1
trinugroho162,partono_adjem,1
trinugroho162,pinjollaknat,1
trufflenanban,brie_nsa,1
trufflenanban,worksfess,1
tukangpermaks,kapuds640,1
txtfrompiranha,tanyakanrl,1
ubay_ranggers,mrtweepsid,1
udud_duluk,mas_jokomlarat,1
udud_duluk,mas_p4rjo,1
ultractinium,unmagnetism,1
unaboobies,txtpersahaman,1
unbeliebub,campanulaa_,1
unbeliebub,irdaiisy,1
unbeliebub,shopeeid,1
undetectedhi,ime_indonesia,2
undetectedhi,jwkthc,1
undetectedhi,tiket,2
urmatchaaae,tanyarlfes,1
urnameblue,jnkrubbies,1
urnameblue,pizzaslicelast,1
urnameblue,pruetzels,1
urya_suryana,mrtweepsid,1
utha_san,arsipaja,1
uwaegy,deathdol_note,1
uzieeko,minmonps7,1
valiisaa,ndogito,1
vancvrs,tanyakanrl,1
vandy_46,crumblefrost,1
voiceofpeddy,ambisidev,1
voiceofpeddy,irajenar,1
voiceofpkb,cucuna44,1
voiceofpkb,dpp_pkb,1
voiceofpkb,fraksipkb,1
volaryu,buya_pree_,2
volaryu,nyaiiteng23,1
vybearly,glxxydea,1
waffles21952181,cutemistakess,1
wahyu_djanti88,txtdrimedia,1
wahyuhaart,txtdrkuliner,1
walangp,kapuds640,1
wanagus493,doktertifa,1
wegoready,keiiray,1
wegoready,lovedrichfree,1
wegoready,masssdho97,1
whatsabp,mrtweepsid,1
wiji_lagi,oeussia,1
wildanfird15,kejumaniamantap,1
wildanfird15,sahuuuuur,1
wildanfird15,seroookk,1
wildanfird15,tradingdiary2,1
windy__salto,w___widyaa,1
wirawannn2,innovacommunity,1
wisnukatep,kapuds640,1
wisnukatep,txtharihariwni,1
wonebihepi,happymoondebt,1
wulannaya8889,kikysaputrii,1
xenonspade,masssdho97,1
xiaomi_winz,lambesahamjja,1
xnetizenid,nomoreutang,1
yana_yeoh,ngopipagi923441,1
yedi_extki,bennyharmanid,1
yedi_extki,doktertifa,1
yedi_extki,kompastv,1
yedi_extki,nasdem,1
yellowape4,tanyarlfes,1
yeontansmine,bts_bighit,1
yeontansmine,ime_indonesia,1
yeontansmine,tiket,1
yepingekon,bangherwin,1
yepingekon,indepensumatera,1
yepingekon,prabowo,1
yonathwin,adakamiofficial,1
yonathwin,ojkindonesia,1
yonathwin,partaisocmed,1
yonathwin,partono_adjem,1
yongee123,profesor_saham,1
youlovezembud,arsipaja,1
youlovezembud,lelakifavoritmu,1
yumiaaww,cupang1997,1
yuyura381129,rayaazhrar,1
zamharibasyir1,dar4_ra,1
zavikhaerul,doktermarket,1
zavikhaerul,kuntulterb55311,1
ziekhageronimo,baseconvo,1
zil_dj,tanyakanrl,1
zisgates,abe_mukti,1
zisgates,dahlanrais,1
zisgates,haedarns,1
zisgates,muhadjir_ef,1
zisgates,muhammadiyah,1
zisgates,muhammadiyingl,1
zivoraory,mrtweepsid,1
zivoraory,unmagnetism,1
zoelfick,uusbiasaaja,1
zona_ngeluh,tanyarlfes,1
zrep2024,islah_bahrawi,1
zrep2024,kompascom,1
zrep2024,prabowo,1
zrep2024,vanc1bozz,1
zwykli_ludzie,ccicpolri,1
zwykli_ludzie,kegblgnunfaedh,1
zwykli_ludzie,winlive4d_team,1
zxiin_888,setyowisanggeni,1
