Id,Label,Degree,InDegree,OutDegree,Betweenness,Topik_Dominan
wonebihepi,wonebihepi,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
happymoondebt,happymoondebt,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
buswaylovexx,buswaylovexx,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
vladisvya,vladisvya,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
calamaki_vi,calamaki_vi,0.00234009360374415,0.0,0.00234009360374415,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
ganafmargi,ganafmargi,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
wahyu_uniform,wahyu_uniform,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
catchmeupco,catchmeupco,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
thondhanks,thondhanks,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
temanduit,temanduit,0.00858034321372855,0.0,0.00858034321372855,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
yoyoayo17845,yoyoayo17845,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
paduka_teuing,paduka_teuing,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
adri_7i,adri_7i,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
mas_veel,mas_veel,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
dika_maxelyou,dika_maxelyou,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
b_hendratmo1,b_hendratmo1,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
are_inismyname,are_inismyname,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
bengkeldodo,bengkeldodo,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
chavesz08,chavesz08,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
ajotegie,ajotegie,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
morgenlich666,morgenlich666,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
gunawan75_,gunawan75_,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
albrtsd,albrtsd,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
xiayuejiu,xiayuejiu,0.00234009360374415,0.00234009360374415,0.0,0.0,Tidak Ada Topik / Target Saja
rezkiy_,rezkiy_,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
shimaaasyala,shimaaasyala,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 3: Ketakutan Telat Bayar & Ancaman Sebar Data
dee_rose82,dee_rose82,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
5tev3n_pe9el,5tev3n_pe9el,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
de_chanie,de_chanie,0.0015600624024961,0.0,0.0015600624024961,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
